timestamp,heart_rate,steps,body_temp,temperature,humidity,pm25,pm10,respiratory_cases,viral_infections,co2_level,noise_level,risk_level
2024-01-01 00:00:00,59,14,36.29,0,0,0,0,0,0,0,0,low
2024-01-01 00:01:00,76,3,36.89,0,0,0,0,0,0,0,0,high
2024-01-01 00:02:00,84,24,37.28,0,0,0,0,0,0,0,0,high
2024-01-01 00:03:00,74,14,37.52,0,0,0,0,0,0,0,0,high
2024-01-01 00:04:00,67,14,37.11,0,0,0,0,0,0,0,0,high
2024-01-01 00:05:00,72,25,37.45,0,0,0,0,0,0,0,0,high
2024-01-01 00:06:00,68,28,37.14,0,0,0,0,0,0,0,0,high
2024-01-01 00:07:00,76,20,37.06,0,0,0,0,0,0,0,0,high
2024-01-01 00:08:00,75,8,37.24,0,0,0,0,0,0,0,0,high
2024-01-01 00:09:00,79,16,36.22,0,0,0,0,0,0,0,0,low
2024-01-01 00:10:00,54,15,37.03,0,0,0,0,0,0,0,0,high
2024-01-01 00:11:00,85,19,37.23,0,0,0,0,0,0,0,0,high
2024-01-01 00:12:00,68,29,36.99,0,0,0,0,0,0,0,0,high
2024-01-01 00:13:00,74,26,37.89,0,0,0,0,0,0,0,0,high
2024-01-01 00:14:00,78,27,37.12,0,0,0,0,0,0,0,0,high
2024-01-01 00:15:00,82,9,36.74,0,0,0,0,0,0,0,0,high
2024-01-01 00:16:00,69,3,37.68,0,0,0,0,0,0,0,0,high
2024-01-01 00:17:00,61,8,37.65,0,0,0,0,0,0,0,0,high
2024-01-01 00:18:00,79,17,36.72,0,0,0,0,0,0,0,0,high
2024-01-01 00:19:00,72,27,37.25,0,0,0,0,0,0,0,0,high
2024-01-01 00:20:00,75,5,37.08,0,0,0,0,0,0,0,0,high
2024-01-01 00:21:00,85,23,36.75,0,0,0,0,0,0,0,0,high
2024-01-01 00:22:00,74,0,37.13,0,0,0,0,0,0,0,0,high
2024-01-01 00:23:00,71,3,36.67,0,0,0,0,0,0,0,0,medium
2024-01-01 00:24:00,63,13,36.83,0,0,0,0,0,0,0,0,high
2024-01-01 00:25:00,78,13,37.6,0,0,0,0,0,0,0,0,high
2024-01-01 00:26:00,68,4,36.79,0,0,0,0,0,0,0,0,high
2024-01-01 00:27:00,78,19,37.69,0,0,0,0,0,0,0,0,high
2024-01-01 00:28:00,61,26,36.2,0,0,0,0,0,0,0,0,low
2024-01-01 00:29:00,84,22,36.26,0,0,0,0,0,0,0,0,low
2024-01-01 00:30:00,70,3,36.02,0,0,0,0,0,0,0,0,low
2024-01-01 00:31:00,77,26,36.79,0,0,0,0,0,0,0,0,high
2024-01-01 00:32:00,62,16,36.77,0,0,0,0,0,0,0,0,medium
2024-01-01 00:33:00,63,19,36.64,0,0,0,0,0,0,0,0,medium
2024-01-01 00:34:00,87,2,37.2,0,0,0,0,0,0,0,0,high
2024-01-01 00:35:00,58,25,37.34,0,0,0,0,0,0,0,0,high
2024-01-01 00:36:00,60,15,37.09,0,0,0,0,0,0,0,0,high
2024-01-01 00:37:00,58,8,36.72,0,0,0,0,0,0,0,0,medium
2024-01-01 00:38:00,88,29,36.71,0,0,0,0,0,0,0,0,high
2024-01-01 00:39:00,70,6,36.46,0,0,0,0,0,0,0,0,low
2024-01-01 00:40:00,79,12,36.36,0,0,0,0,0,0,0,0,low
2024-01-01 00:41:00,62,5,36.92,0,0,0,0,0,0,0,0,high
2024-01-01 00:42:00,86,10,36.7,0,0,0,0,0,0,0,0,high
2024-01-01 00:43:00,79,1,37.12,0,0,0,0,0,0,0,0,high
2024-01-01 00:44:00,70,13,36.86,0,0,0,0,0,0,0,0,high
2024-01-01 00:45:00,83,18,36.67,0,0,0,0,0,0,0,0,high
2024-01-01 00:46:00,79,22,37.36,0,0,0,0,0,0,0,0,high
2024-01-01 00:47:00,79,17,36.66,0,0,0,0,0,0,0,0,medium
2024-01-01 00:48:00,65,20,37.42,0,0,0,0,0,0,0,0,high
2024-01-01 00:49:00,80,3,36.8,0,0,0,0,0,0,0,0,high
2024-01-01 00:50:00,64,27,37.3,0,0,0,0,0,0,0,0,high
2024-01-01 00:51:00,77,1,37.03,0,0,0,0,0,0,0,0,high
2024-01-01 00:52:00,78,20,37.22,0,0,0,0,0,0,0,0,high
2024-01-01 00:53:00,64,12,37.38,0,0,0,0,0,0,0,0,high
2024-01-01 00:54:00,88,21,35.93,0,0,0,0,0,0,0,0,low
2024-01-01 00:55:00,82,4,37.07,0,0,0,0,0,0,0,0,high
2024-01-01 00:56:00,79,3,36.82,0,0,0,0,0,0,0,0,high
2024-01-01 00:57:00,100,0,37.39,0,0,0,0,0,0,0,0,high
2024-01-01 00:58:00,76,25,38.15,0,0,0,0,0,0,0,0,high
2024-01-01 00:59:00,69,20,37.34,0,0,0,0,0,0,0,0,high
2024-01-01 01:00:00,58,5,37.9,0,0,0,0,0,0,0,0,high
2024-01-01 01:01:00,68,10,36.98,0,0,0,0,0,0,0,0,high
2024-01-01 01:02:00,65,24,37.51,0,0,0,0,0,0,0,0,high
2024-01-01 01:03:00,76,27,36.6,0,0,0,0,0,0,0,0,medium
2024-01-01 01:04:00,79,3,37.08,0,0,0,0,0,0,0,0,high
2024-01-01 01:05:00,86,7,37.19,0,0,0,0,0,0,0,0,high
2024-01-01 01:06:00,100,25,37.02,0,0,0,0,0,0,0,0,high
2024-01-01 01:07:00,54,27,37.16,0,0,0,0,0,0,0,0,high
2024-01-01 01:08:00,83,0,37.12,0,0,0,0,0,0,0,0,high
2024-01-01 01:09:00,83,24,37.28,0,0,0,0,0,0,0,0,high
2024-01-01 01:10:00,76,13,37.34,0,0,0,0,0,0,0,0,high
2024-01-01 01:11:00,64,29,36.66,0,0,0,0,0,0,0,0,medium
2024-01-01 01:12:00,72,27,36.47,0,0,0,0,0,0,0,0,low
2024-01-01 01:13:00,57,3,36.43,0,0,0,0,0,0,0,0,low
2024-01-01 01:14:00,72,1,36.74,0,0,0,0,0,0,0,0,high
2024-01-01 01:15:00,66,27,37.58,0,0,0,0,0,0,0,0,high
2024-01-01 01:16:00,71,0,36.83,0,0,0,0,0,0,0,0,high
2024-01-01 01:17:00,98,29,36.59,0,0,0,0,0,0,0,0,high
2024-01-01 01:18:00,67,1,36.66,0,0,0,0,0,0,0,0,medium
2024-01-01 01:19:00,59,1,36.46,0,0,0,0,0,0,0,0,low
2024-01-01 01:20:00,70,10,36.7,0,0,0,0,0,0,0,0,medium
2024-01-01 01:21:00,73,9,37.44,0,0,0,0,0,0,0,0,high
2024-01-01 01:22:00,91,29,36.37,0,0,0,0,0,0,0,0,low
2024-01-01 01:23:00,87,20,37.6,0,0,0,0,0,0,0,0,high
2024-01-01 01:24:00,55,1,36.86,0,0,0,0,0,0,0,0,high
2024-01-01 01:25:00,76,2,37.08,0,0,0,0,0,0,0,0,high
2024-01-01 01:26:00,67,16,36.65,0,0,0,0,0,0,0,0,medium
2024-01-01 01:27:00,91,22,37.63,0,0,0,0,0,0,0,0,high
2024-01-01 01:28:00,73,9,37.75,0,0,0,0,0,0,0,0,high
2024-01-01 01:29:00,67,27,36.65,0,0,0,0,0,0,0,0,medium
2024-01-01 01:30:00,71,10,36.29,0,0,0,0,0,0,0,0,low
